keywords,title,company,location,listed_at,job_id,job_url,apply_url
Private Credit,TL-Research Capital Markets,Cognizant,"Chennai, Tamil Nadu, India",2026-02-03,4368253406,https://in.linkedin.com/jobs/view/tl-research-capital-markets-at-cognizant-4368253406,https://in.linkedin.com/jobs/view/tl-research-capital-markets-at-cognizant-4368253406
Private Credit,Analyst - KYC [T500-21901],MUFG,"Bengaluru, Karnataka, India",2026-01-16,4344402818,https://in.linkedin.com/jobs/view/analyst-kyc-t500-21901-at-mufg-4344402818,https://in.linkedin.com/jobs/view/analyst-kyc-t500-21901-at-mufg-4344402818
Private Credit,"Asset & Wealth Management, Private Credit, Asset Finance, Analyst, Bengaluru",Goldman Sachs,"Bengaluru, Karnataka, India",2026-01-22,4326705894,https://in.linkedin.com/jobs/view/asset-wealth-management-private-credit-asset-finance-analyst-bengaluru-at-goldman-sachs-4326705894,https://in.linkedin.com/jobs/view/asset-wealth-management-private-credit-asset-finance-analyst-bengaluru-at-goldman-sachs-4326705894
Private Credit,Analyst - FI KYC [T500-22552],MUFG,"Bengaluru, Karnataka, India",2026-01-19,4364092725,https://in.linkedin.com/jobs/view/analyst-fi-kyc-t500-22552-at-mufg-4364092725,https://in.linkedin.com/jobs/view/analyst-fi-kyc-t500-22552-at-mufg-4364092725
Private Credit,Administrator / Analyst - India KYC [T500-21885],MUFG,"Bengaluru, Karnataka, India",2026-01-16,4344332643,https://in.linkedin.com/jobs/view/administrator-analyst-india-kyc-t500-21885-at-mufg-4344332643,https://in.linkedin.com/jobs/view/administrator-analyst-india-kyc-t500-21885-at-mufg-4344332643
Private Credit,Analyst - FI KYC [T500-22856],MUFG,"Bengaluru, Karnataka, India",2026-01-30,4367420490,https://in.linkedin.com/jobs/view/analyst-fi-kyc-t500-22856-at-mufg-4367420490,https://in.linkedin.com/jobs/view/analyst-fi-kyc-t500-22856-at-mufg-4367420490
Private Credit,Analyst - SG KYC [T500-22855],MUFG,"Bengaluru, Karnataka, India",2026-01-30,4367431460,https://in.linkedin.com/jobs/view/analyst-sg-kyc-t500-22855-at-mufg-4367431460,https://in.linkedin.com/jobs/view/analyst-sg-kyc-t500-22855-at-mufg-4367431460
Private Credit,Top Highest-Paying Bank Jobs in Mumbai,Career Cartz,"Patel Nagar, Delhi, India",2025-04-17,4212501436,https://in.linkedin.com/jobs/view/top-highest-paying-bank-jobs-in-mumbai-at-career-cartz-4212501436,https://in.linkedin.com/jobs/view/top-highest-paying-bank-jobs-in-mumbai-at-career-cartz-4212501436
Private Credit,KreditBee - Analyst/Senior Analyst - LAP Credit,KreditBee,"Bengaluru, Karnataka, India",2025-11-26,4339114138,https://in.linkedin.com/jobs/view/kreditbee-analyst-senior-analyst-lap-credit-at-kreditbee-4339114138,https://in.linkedin.com/jobs/view/kreditbee-analyst-senior-analyst-lap-credit-at-kreditbee-4339114138
Private Credit,"Asset & Wealth Management- Fixed Income, Investment Grade Credit Research - Analyst - Bengaluru",Goldman Sachs,"Bengaluru, Karnataka, India",2026-02-03,4368223121,https://in.linkedin.com/jobs/view/asset-wealth-management-fixed-income-investment-grade-credit-research-analyst-bengaluru-at-goldman-sachs-4368223121,https://in.linkedin.com/jobs/view/asset-wealth-management-fixed-income-investment-grade-credit-research-analyst-bengaluru-at-goldman-sachs-4368223121
